trial,size_fraction,frames_fraction,window_size,window_step_size,num_frames,size_x,size_y,num_windows_x,num_windows_y,total_time,generate_rgb_time,window_ttcf_time,extract_embedding_time,process_windows_time,create_model_time,create_windows_time,img_stk_nbytes,low_res_feature_map_nbytes,window_ttcf_nbytes,total_except_img_stk_size,total_size
6,0.6,0.9,65,10,47,1132,1132,107,47,178.40238761901855,42.75441884994507,1.049041748046875e-05,106.67246603965759,28.382350206375122,0.15609359741210938,0.06281542778015137,0.240907712,0.064480768,0.202326728,0.266807496,0.507715208
6,0.6,0.9,35,10,47,1132,1132,110,47,187.55687856674194,56.38969945907593,1.33514404296875e-05,98.5142650604248,32.117106676101685,0.14719390869140625,0.06239938735961914,0.240907712,0.0681472,0.2138312,0.2819784,0.522886112
6,0.6,0.9,95,10,47,1132,1132,104,47,165.50347518920898,43.636849880218506,1.2636184692382812e-05,80.7221577167511,40.42446565628052,0.2252824306488037,0.07427740097045898,0.240907712,0.060915712,0.191140352,0.252056064,0.492963776
6,0.6,0.9,125,10,47,1132,1132,101,47,211.5219349861145,47.021976947784424,1.6450881958007812e-05,110.07111740112305,53.90870022773743,0.14629530906677246,0.06269598007202148,0.240907712,0.057452032,0.180272072,0.237724104,0.478631816
6,0.6,0.2,65,10,10,1132,1132,107,10,137.349223613739,43.154128074645996,1.1444091796875e-05,87.26221203804016,6.450096368789673,0.1527698040008545,0.01374673843383789,0.05125696,0.064480768,0.0091592,0.073639968,0.124896928
6,0.6,0.2,35,10,10,1132,1132,110,10,158.67576622962952,57.47607922554016,1.2636184692382812e-05,94.63019919395447,6.094942092895508,0.14900493621826172,0.014067649841308594,0.05125696,0.0681472,0.00968,0.0778272,0.12908416
6,0.6,0.2,95,10,10,1132,1132,104,10,151.204243183136,41.66864633560181,1.0728836059570312e-05,97.32482147216797,11.562973022460938,0.1822798252105713,0.018288373947143555,0.05125696,0.060915712,0.0086528,0.069568512,0.120825472
6,0.6,0.2,125,10,10,1132,1132,101,10,139.4918131828308,43.64621591567993,1.0013580322265625e-05,85.91654777526855,9.463408946990967,0.14934682846069336,0.0133819580078125,0.05125696,0.057452032,0.0081608,0.065612832,0.116869792
6,0.6,0.4,65,10,21,1132,1132,107,21,155.72334265708923,52.09687328338623,1.2159347534179688e-05,89.16723394393921,13.828704357147217,0.17866277694702148,0.036379098892211914,0.107639616,0.064480768,0.040392072,0.10487284,0.212512456
6,0.6,0.4,35,10,21,1132,1132,110,21,146.9870629310608,48.210551738739014,8.344650268554688e-06,88.64433670043945,9.398388147354126,0.22993183135986328,0.03296995162963867,0.107639616,0.0681472,0.0426888,0.110836,0.218475616
6,0.6,0.4,95,10,21,1132,1132,104,21,140.5802936553955,41.68652057647705,1.0013580322265625e-05,81.75396609306335,16.417624473571777,0.17878937721252441,0.03737640380859375,0.107639616,0.060915712,0.038158848,0.09907456,0.206714176
6,0.6,0.4,125,10,21,1132,1132,101,21,141.2151415348053,40.024683237075806,1.0251998901367188e-05,80.57480597496033,20.122769832611084,0.15119194984436035,0.02801513671875,0.107639616,0.057452032,0.035989128,0.09344116,0.201080776
6,0.6,1.0,65,10,53,1132,1132,107,53,165.06428909301758,45.85894465446472,1.239776611328125e-05,83.665846824646,34.9529230594635,0.15324163436889648,0.06998658180236816,0.271661888,0.064480768,0.257281928,0.321762696,0.593424584
6,0.6,1.0,35,10,53,1132,1132,110,53,182.84157633781433,59.96780562400818,1.3828277587890625e-05,90.7333734035492,31.56648087501526,0.15334439277648926,0.07194137573242188,0.271661888,0.0681472,0.2719112,0.3400584,0.611720288
6,0.6,1.0,95,10,53,1132,1132,104,53,195.35622811317444,48.9498336315155,1.621246337890625e-05,90.75603199005127,55.126708030700684,0.14811158180236816,0.06932449340820312,0.271661888,0.060915712,0.243057152,0.303972864,0.575634752
